Name,Ingredients,Procedure,Serving
Daal Baati Churma,"Whole wheat flour, Ghee, Mixed lentils, Onions, Tomatoes, Green chilies, Ginger-garlic paste, Ghee, Spices",Prepare baatis from whole wheat flour and ghee. Cook mixed lentils and make a spicy curry. Crush the baatis and serve with the curry.,Serve as a traditional Rajasthani meal.
Daal Puri,"Whole wheat flour, Chana dal (split chickpeas), Onions, Green chilies, Coriander leaves, Spices, Oil","Make a dough from whole wheat flour. Stuff with a mixture of cooked chana dal, onions, and spices. Deep fry until golden brown.",Serve hot with chutney or aloo sabzi.
Dal Makhani,"Black lentils, Kidney beans, Onions, Tomatoes, Ginger-garlic paste, Cream, Butter, Spices","Cook black lentils and kidney beans until tender. Sauté with onions, tomatoes, and spices. Finish with cream and butter.",Serve hot with naan or rice.
Dal Tadka,"Toor dal (pigeon peas), Onions, Tomatoes, Green chilies, Ginger-garlic paste, Cumin seeds, Spices, Ghee","Cook toor dal until soft. Sauté with onions, tomatoes, and spices. Add a tadka of cumin seeds in ghee.",Serve hot with rotis or rice.
Dharwad Pedha,"Milk, Sugar, Ghee",Boil milk until it thickens. Add sugar and ghee. Cook until the mixture thickens and solidifies. Shape into pedhas.,Serve as a sweet delicacy.
Doodhpak,"Milk, Rice, Sugar, Cardamom powder, Nuts, Saffron strands","Cook rice in milk until the mixture thickens. Add sugar, cardamom powder, and saffron. Garnish with nuts.",Serve as a sweet dessert.
Double Ka Meetha,"Bread slices, Milk, Ghee, Sugar, Cardamom powder, Nuts",Fry bread slices in ghee. Boil in sweetened milk until the bread absorbs the milk. Garnish with nuts.,Serve as a sweet dish.
Dum Aloo,"Baby potatoes, Yogurt, Onions, Tomatoes, Ginger-garlic paste, Spices, Oil, Salt","Marinate baby potatoes with yogurt and spices. Sauté with onions, tomatoes, and spices. Cook on low heat (dum) until potatoes are tender.",Serve hot with rotis or rice.
Gajar Ka Halwa,"Carrots, Milk, Ghee, Sugar, Cardamom powder, Nuts","Grate carrots and cook with milk until the mixture thickens. Add ghee, sugar, and cardamom powder. Garnish with nuts.",Serve hot as a sweet dessert.
Gavvalu,"Rice flour, Urad dal flour, Butter, Water, Salt, Oil for frying","Prepare a dough with rice flour, urad dal flour, butter, water, and salt. Shape the dough into small shell-like structures and deep fry until golden brown.",Serve as a crunchy snack.
Ghevar,"All-purpose flour, Ghee, Milk, Sugar syrup, Cardamom powder, Nuts","Prepare a batter with all-purpose flour, ghee, and milk. Fry in a special mold, soak in sugar syrup, and garnish with nuts.","Serve as a sweet dish, especially during festivals."
Gulab Jamun,"Khoya, Paneer, All-purpose flour, Milk powder, Ghee, Milk, Sugar, Cardamom powder, Oil for frying","Mix khoya, paneer, all-purpose flour, and milk powder to form a dough. Shape into balls and deep fry until golden brown. Soak in sugar syrup.",Serve as a sweet dessert.
Imarti,"Lentil flour, Sugar, Water, Saffron strands, Cardamom powder, Oil for frying",Prepare a batter with lentil flour. Fry in a circular pattern and soak in sugar syrup.,"Serve as a sweet dessert, especially during festivals."
Jalebi,"All-purpose flour, Yogurt, Saffron strands, Baking soda, Ghee, Sugar syrup",Prepare a batter with all-purpose flour and yogurt. Fry in a circular pattern and soak in sugar syrup.,Serve hot as a sweet dessert.
Kachori,"All-purpose flour, Moong dal, Spices, Oil, Water",Prepare a dough with all-purpose flour and water. Stuff with a spiced moong dal mixture. Deep fry until golden brown.,Serve with chutney as a snack or breakfast item.
Kadai Paneer,"Paneer, Bell peppers, Onions, Tomatoes, Ginger-garlic paste, Spices, Oil, Fresh coriander leaves","Sauté paneer, bell peppers, and onions with spices. Garnish with fresh coriander leaves.",Serve hot with rotis or rice.
Kadhi Pakoda,"Yogurt, Gram flour (besan), Onions, Ginger, Green chilies, Spices, Curry leaves, Ghee",Make a thick batter with yogurt and gram flour. Add fried besan pakodas to a yogurt-based curry.,Serve hot with steamed rice.
Kajjikaya,"Semolina, Coconut, Jaggery, Cardamom powder, Ghee, Oil for frying","Prepare a dough with semolina, coconut, and jaggery. Stuff the dough and deep fry until golden brown.",Serve as a sweet snack.
Kakinada Khaja,"All-purpose flour, Ghee, Water, Sugar syrup","Prepare a dough with all-purpose flour, ghee, and water. Fry and soak in sugar syrup.",Serve as a sweet dessert.
Kalakand,"Milk, Sugar, Cardamom powder, Nuts","Boil milk and reduce it to a solid consistency. Add sugar, cardamom powder, and nuts. Cook until it thickens.",Serve chilled as a sweet dessert.
Karela Bharta,"Bitter gourd (karela), Onions, Tomatoes, Green chilies, Spices, Oil","Sauté bitter gourd with onions, tomatoes, and spices until tender and slightly caramelized.",Serve as a side dish with rotis or rice.
Kofta,"Paneer, Potatoes, All-purpose flour, Spices, Oil for frying","Mix paneer, potatoes, and spices to form a dough. Shape into balls and deep fry until golden brown.",Serve with curry or gravy as a side dish.
Kuzhi Paniyaram,"Rice flour, Urad dal, Fenugreek seeds, Yogurt, Onions, Green chilies, Mustard seeds, Curry leaves, Oil","Ferment a batter with rice flour, urad dal, and fenugreek seeds. Pour into a special pan and cook until golden brown.",Serve hot with chutney or sambar.
Laddu,"Gram flour (besan), Ghee, Sugar, Cardamom powder, Nuts","Roast gram flour in ghee until aromatic. Add sugar, cardamom powder, and nuts. Shape into round balls.",Serve as a sweet dessert.
Lassi,"Yogurt, Water, Sugar, Cardamom powder, Rose water, Nuts","Blend yogurt, water, sugar, and cardamom powder. Garnish with rose water and nuts.",Serve chilled as a refreshing drink.
Ledikeni,"Khoya, Paneer, All-purpose flour, Ghee, Sugar syrup, Cardamom powder, Nuts","Mix khoya, paneer, all-purpose flour, and ghee to form a dough. Shape into oval balls and fry until golden brown. Soak in sugar syrup.",Serve as a sweet dessert.
Litti Chokha,"Whole wheat flour, Sattu (roasted gram flour), Onions, Tomatoes, Green chilies, Spices, Ghee",Prepare a dough with whole wheat flour. Stuff with sattu and spices. Bake until cooked. Serve with mashed vegetables.,Serve as a traditional Bihari dish.
Lyangcha,"Khoya, Sugar, Cardamom powder, Ghee, Oil for frying","Mix khoya, sugar, and cardamom powder to form a dough. Shape into elongated balls and deep fry until golden brown.",Serve as a sweet dessert.
Maach Jhol,"Fish, Mustard oil, Onions, Tomatoes, Green chilies, Ginger-garlic paste, Turmeric powder, Spices, Coriander leaves","Marinate fish with turmeric and salt. Sauté with spices, onions, tomatoes, and green chilies. Cook until fish is tender. Garnish with coriander leaves.",Serve hot with steamed rice.
Makki Di Roti Sarson Da Saag,"Maize flour (makki atta), Mustard greens, Spinach, Onions, Green chilies, Ginger, Ghee","Prepare dough with maize flour. Cook mustard greens and spinach. Sauté with onions, green chilies, and ginger. Serve with makki di roti and ghee.",Serve as a traditional Punjabi meal.
Malapua,"All-purpose flour, Khoya, Milk, Sugar, Fennel seeds, Cardamom powder, Ghee, Oil for frying","Prepare a batter with all-purpose flour, khoya, milk, fennel seeds, and cardamom powder. Fry in ghee until golden brown.","Serve as a sweet dessert, especially during festivals."
Misi Roti,"Whole wheat flour, Gram flour (besan), Onions, Green chilies, Spices, Ghee","Prepare a dough with whole wheat flour, gram flour, and spices. Roll into flat discs and cook on a griddle with ghee.",Serve hot with vegetables or curries.
Misti Doi,"Milk, Yogurt culture, Sugar",Reduce milk and add yogurt culture. Add sugar and allow it to set and ferment.,"Serve chilled as a sweet dessert, especially in Bengali cuisine."
Modak,"Rice flour, Grated coconut, Jaggery, Cardamom powder, Ghee","Prepare a dough with rice flour. Stuff with a mixture of grated coconut, jaggery, and cardamom powder. Steam until cooked.","Serve as a sweet offering during festivals, especially Ganesh Chaturthi."
Mysore Pak,"Chickpea flour (besan), Ghee, Sugar, Cardamom powder",Mix chickpea flour and ghee. Cook with sugar and cardamom powder until golden brown. Set and cut into pieces.,"Serve as a sweet dessert, especially in South Indian cuisine."
Naan,"All-purpose flour, Yogurt, Yeast, Sugar, Ghee","Prepare a dough with all-purpose flour, yogurt, and yeast. Roll into discs and cook in a tandoor or on a griddle.",Serve hot with curries or kebabs.
Navrattan Korma,"Mixed vegetables, Paneer, Cashews, Onions, Tomatoes, Cream, Spices, Ghee","Sauté mixed vegetables, paneer, and spices. Add a creamy gravy made from cashews, onions, and tomatoes.",Serve hot with naan or rice.
Palak Paneer,"Paneer, Spinach, Onions, Tomatoes, Green chilies, Ginger-garlic paste, Cream, Spices","Sauté paneer and spinach with spices, onions, tomatoes, and green chilies. Finish with cream.",Serve hot with rotis or rice.
Paneer Butter Masala,"Paneer, Onions, Tomatoes, Cashews, Cream, Butter, Spices","Sauté paneer with a creamy tomato-based gravy made from onions, tomatoes, and cashews. Finish with butter and cream.",Serve hot with naan or rice.
Phirni,"Rice, Milk, Sugar, Cardamom powder, Saffron strands, Nuts","Cook rice in milk until thickened. Add sugar, cardamom powder, saffron strands, and nuts. Chill before serving.","Serve cold as a sweet dessert, especially during festivals."
Pithe,"Rice flour, Jaggery, Coconut, Milk, Cardamom powder, Ghee","Prepare a dough with rice flour. Stuff with a mixture of jaggery, coconut, and cardamom powder. Cook until golden brown.","Serve as a sweet delicacy, especially during festivals in East India."
Poha,"Flattened rice, Onions, Potatoes, Peas, Mustard seeds, Curry leaves, Green chilies, Spices, Peanuts, Oil","Sauté flattened rice with spices, onions, potatoes, and peas. Garnish with peanuts and curry leaves.",Serve hot as a breakfast or snack item.
Poornalu,"Chana dal, Jaggery, Rice flour, Cardamom powder, Ghee, Oil for frying","Prepare a dough with rice flour. Stuff with a mixture of chana dal, jaggery, and cardamom powder. Deep fry until golden brown.","Serve as a sweet snack, especially during festivals."
Pootharekulu,"Rice paper, Ghee, Jaggery, Khoya, Cardamom powder","Coat rice paper with ghee. Stuff with a mixture of jaggery, khoya, and cardamom powder. Dry and serve.","Serve as a sweet delicacy, especially in Andhra Pradesh."
Qubani Ka Meetha,"Dried apricots, Sugar, Water, Cardamom powder, Cream, Nuts",Cook dried apricots in sugar syrup until soft. Purée and garnish with cream and nuts.,Serve chilled as a sweet dessert.
Rabri,"Milk, Sugar, Cardamom powder, Nuts","Boil and reduce milk until thickened. Add sugar, cardamom powder, and nuts.",Serve chilled as a sweet dessert.
Ras Malai,"Paneer, Milk, Sugar, Cardamom powder, Saffron strands, Nuts",Prepare paneer balls and soak in sweetened milk. Garnish with saffron strands and nuts.,Serve chilled as a sweet dessert.
Rasgulla,"Paneer, Sugar, Water, Cardamom powder, Rose water",Prepare paneer balls and cook in sugar syrup until they expand. Garnish with cardamom powder and rose water.,Serve chilled as a sweet dessert.
Sandesh,"Paneer, Sugar, Cardamom powder, Nuts",Knead paneer with sugar and cardamom powder. Shape into discs and garnish with nuts.,Serve as a sweet dessert.
Shankarpali,"All-purpose flour, Sugar, Ghee, Milk, Cardamom powder, Oil for frying","Prepare a dough with all-purpose flour, sugar, ghee, and milk. Shape into diamond-like pieces and deep fry until golden brown.","Serve as a sweet snack, especially during festivals."
Sheer Korma,"Vermicelli, Milk, Sugar, Ghee, Nuts",Sauté vermicelli in ghee. Add milk and cook until the vermicelli is soft. Add sugar and nuts.,"Serve as a sweet dish, especially during Eid."
Sheera,"Semolina, Ghee, Sugar, Water, Cardamom powder, Nuts","Sauté semolina in ghee. Add sugar, water, and cardamom powder. Garnish with nuts.",Serve as a sweet dish.
Shrikhand,"Yogurt, Sugar, Cardamom powder, Saffron strands, Nuts","Strain yogurt and mix with sugar, cardamom powder, and saffron strands. Garnish with nuts.",Serve chilled as a sweet dessert.
Sohan Halwa,"Semolina, Ghee, Sugar, Water, Cardamom powder, Nuts","Sauté semolina in ghee. Add sugar, water, and cardamom powder. Garnish with nuts.",Serve as a sweet halwa.
Sohan Papdi,"Gram flour (besan), Ghee, Sugar, Cardamom powder, Nuts","Roast gram flour in ghee until aromatic. Add sugar, cardamom powder, and nuts. Shape into thin discs.","Serve as a sweet snack, especially during festivals."
Sutar Feni,"Gram flour (besan), Ghee, Sugar, Cardamom powder, Nuts","Roast gram flour in ghee until aromatic. Add sugar, cardamom powder, and nuts. Shape into small fibrous donut-like shapes.",Serve as a sweet snack.
Unni Appam,"Rice flour, Jaggery, Banana, Grated coconut, Cardamom powder, Ghee, Baking soda, Salt","Mix rice flour, jaggery, mashed banana, grated coconut, cardamom powder, baking soda, and a pinch of salt to make a thick batter. Heat the appam pan, add ghee in each mold, and pour the batter. Cook until golden brown on both sides.",Serve as a sweet snack during festivals or special occasions.
Paripvada,"Chana dal (kadala parippu), Dry red chilies, Green chilies, Ginger, Shallots, Curry leaves , Salt, Oil","To make Parippu Vada, wash and soak chana dal for about 2 hours, then drain and set aside 2 tablespoons of the soaked dal for texture. Coarsely grind the remaining dal along with dry red chilies without adding water. In a bowl, mix the ground dal with the reserved whole dal, chopped green chilies, ginger, shallots, curry leaves, salt, and a pinch of asafoetida to form a firm dough. Wet your hands and shape the mixture into small flat discs. Heat oil in a deep pan over medium heat and fry the vadas until they turn golden brown and crispy, ensuring not to overcrowd the pan. Once done, drain the excess oil on tissue paper and serve hot with coconut chutney or a cup of tea.",Serve with tea
